    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 360.21,  91266.2,  93470, 322.931,  -90981.1,  93087
200, 131.612,  91353.3,  93553.3, 105.503,  -91087.1,  93189.8
300, 99.6104,  92731.7,  94965.4, 73.1725,  -92437.1,  94571.5
400, 66.6918,  91185.8,  93380.4, 42.8964,  -90903.5,  93000.7
500, 228.553,  91846.1,  94056.3, 195.782,  -91562.6,  93674.7
600, 183.54,  92210.6,  94430.8, 152.687,  -91912.6,  94033.9
700, 163.118,  91491.1,  93693.7, 133.455,  -91216.1,  93321.2
800, 155.72,  92006.4,  94220.4, 126.351,  -91717.4,  93833.1
900, 160.57,  92092,  94307.6, 131.318,  -91810.9,  93928.2
1000, 166.013,  91746,  93953.8, 136.172,  -91470.7,  93580.8
1100, 161.967,  91985.3,  94198.7, 133.133,  -91697.2,  93812.2
1200, 157.852,  91971.4,  94184.4, 128.669,  -91697.6,  93812.6
1300, 163.773,  91864.5,  94074.9, 134.104,  -91580.4,  93692.7
1400, 167.704,  91992.9,  94206.4, 138.766,  -91709.7,  93825
1500, 165.395,  91962.6,  94175.4, 135.459,  -91685.7,  93800.5
1600, 163.923,  91927.9,  94139.9, 134.584,  -91639.7,  93753.4
1700, 163.06,  91982.5,  94195.7, 134.084,  -91705.5,  93820.6
1800, 162.907,  91958.1,  94170.7, 133.083,  -91675.2,  93789.7
1900, 162.803,  91941.2,  94153.4, 133.822,  -91657.2,  93771.2
2000, 162.789,  91962.4,  94175.1, 133.456,  -91686.2,  93800.8
2100, 162.896,  91953.2,  94165.7, 133.389,  -91666.7,  93780.9
2200, 163.406,  91948.1,  94160.5, 134.31,  -91669.6,  93784
2300, 163.797,  91962.4,  94175.1, 134.25,  -91681.5,  93796.1
2400, 163.451,  91957.5,  94170.1, 134.234,  -91672.5,  93786.9
2500, 163.511,  91954.7,  94167.2, 134.115,  -91677.8,  93792.3
2600, 163.348,  91963.4,  94176.1, 133.972,  -91678.3,  93792.8
2700, 163.137,  91956.2,  94168.7, 133.987,  -91675.8,  93790.2
2800, 163.378,  91956.3,  94168.9, 133.8,  -91676.6,  93791
2900, 163.117,  91960.3,  94172.9, 133.991,  -91675.4,  93789.8
