    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 537.785,  73555.2,  75444.7, 534.418,  -73575.2,  75464.6
200, 504.505,  75655.6,  77590.7, 502.031,  -75679.7,  77614.9
300, 300.766,  68257.9,  70040.4, 296.954,  -68283.7,  70066.4
400, 594.232,  69140,  70971.6, 591.226,  -69162.5,  70994.1
500, 272.84,  70505.6,  72345.5, 270.955,  -70529.6,  72369.7
600, 434,  71525,  73378.5, 431.16,  -71554.3,  73408
700, 97.2388,  70745.1,  72587.1, 94.1483,  -70772.9,  72615.1
800, 595.102,  70216.3,  72059.7, 591.956,  -70245,  72088.6
900, 187.011,  70525.6,  72360.5, 183.627,  -70552.9,  72388.1
1000, 377.53,  70109.2,  71949.3, 375.179,  -70135.9,  71976.1
1100, 432.087,  71165,  73013.9, 428.936,  -71191.8,  73040.8
1200, 208.239,  70395.5,  72231.9, 205.755,  -70421.2,  72257.8
1300, 475.942,  70642.6,  72488.7, 473.06,  -70669.6,  72515.9
1400, 258.613,  70413.4,  72249.5, 255.72,  -70440.5,  72276.8
1500, 411.937,  70620.3,  72466.2, 409.04,  -70647.6,  72493.7
1600, 296.299,  70591.3,  72429.4, 293.293,  -70618.5,  72456.7
1700, 387.616,  70599.1,  72445, 384.773,  -70626.3,  72472.4
1800, 326.513,  70627,  72465.7, 323.52,  -70653.9,  72492.8
1900, 347.835,  70448.5,  72290.4, 345.042,  -70475.6,  72317.7
2000, 364.441,  70719.5,  72562.5, 361.519,  -70746.1,  72589.4
2100, 316.539,  70472.6,  72312, 313.729,  -70499.6,  72339.2
2200, 380.088,  70694.9,  72539.8, 377.207,  -70721.7,  72566.9
2300, 317.753,  70511.2,  72350, 314.866,  -70538.3,  72377.2
2400, 369.851,  70628.5,  72472.9, 366.982,  -70655.5,  72500.1
2500, 330.258,  70555.2,  72394.6, 327.339,  -70582.2,  72421.8
2600, 356.797,  70606.5,  72450.4, 353.936,  -70633.5,  72477.6
2700, 341.458,  70580.4,  72420.5, 338.557,  -70607.3,  72447.7
2800, 348.73,  70578.5,  72421.3, 345.873,  -70605.5,  72448.6
2900, 346.962,  70599.3,  72440.5, 344.088,  -70626.1,  72467.6
3000, 345.098,  70562.2,  72404, 342.235,  -70589.2,  72431.2
3100, 348.674,  70612.8,  72455.1, 345.81,  -70639.7,  72482.1
3200, 344.502,  70557.3,  72398.4, 341.623,  -70584.3,  72425.6
3300, 348.99,  70611,  72453.6, 346.116,  -70637.9,  72480.7
3400, 344.562,  70559.7,  72400.6, 341.676,  -70586.7,  72427.8
3500, 348.942,  70606.2,  72448.9, 346.06,  -70633.2,  72476
3600, 344.486,  70566,  72407, 341.606,  -70593,  72434.2
3700, 349.31,  70599.7,  72442.1, 346.427,  -70626.6,  72469.3
3800, 344.015,  70573.1,  72414.2, 341.14,  -70600,  72441.4
3900, 349.799,  70591.2,  72433.5, 346.917,  -70618.2,  72460.6
4000, 343.741,  70581.9,  72423.4, 340.866,  -70608.8,  72450.5
4100, 349.598,  70582.9,  72424.8, 346.717,  -70609.9,  72452
4200, 344.45,  70589.5,  72431.2, 341.571,  -70616.5,  72458.4
4300, 348.432,  70576.6,  72418.3, 345.554,  -70603.6,  72445.5
4400, 345.909,  70593.9,  72435.9, 343.028,  -70620.9,  72463
4500, 346.853,  70574,  72415.5, 343.977,  -70601,  72442.7
4600, 347.417,  70595,  72437, 344.535,  -70621.9,  72464.2
4700, 345.549,  70574.5,  72416, 342.674,  -70601.5,  72443.2
4800, 348.427,  70593.1,  72435.1, 345.545,  -70620,  72462.3
4900, 344.899,  70577.5,  72418.9, 342.022,  -70604.4,  72446.1
5000, 348.699,  70589.4,  72431.5, 345.819,  -70616.4,  72458.6
5100, 344.981,  70581.5,  72423, 342.102,  -70608.4,  72450.2
5200, 348.314,  70585.4,  72427.3, 345.434,  -70612.4,  72454.5
5300, 345.588,  70585.2,  72426.8, 342.708,  -70612.1,  72454
5400, 347.576,  70582.3,  72424.1, 344.698,  -70609.3,  72451.3
5500, 346.363,  70587.6,  72429.4, 343.483,  -70614.6,  72456.5
5600, 346.837,  70580.6,  72422.4, 343.96,  -70607.6,  72449.5
5700, 347.008,  70588.5,  72430.4, 344.127,  -70615.5,  72457.5
5800, 346.324,  70580.4,  72422.1, 343.446,  -70607.4,  72449.3
5900, 347.376,  70588.1,  72430, 344.496,  -70615.1,  72457.2
6000, 346.102,  70581.3,  72422.9, 343.224,  -70608.2,  72450.1
6100, 347.465,  70586.9,  72428.8, 344.585,  -70613.9,  72456
6200, 346.128,  70582.7,  72424.4, 343.249,  -70609.6,  72451.5
6300, 347.35,  70585.5,  72427.3, 344.471,  -70612.4,  72454.5
6400, 346.305,  70584.1,  72425.8, 343.426,  -70611,  72453
6500, 347.134,  70584.2,  72426, 344.255,  -70611.2,  72453.2
6600, 346.538,  70585.2,  72426.9, 343.658,  -70612.1,  72454.1
6700, 346.904,  70583.4,  72425.1, 344.025,  -70610.3,  72452.3
6800, 346.751,  70585.8,  72427.5, 343.872,  -70612.7,  72454.7
6900, 346.716,  70583,  72424.8, 343.838,  -70610,  72451.9
7000, 346.905,  70585.9,  72427.7, 344.026,  -70612.8,  72454.8
7100, 346.599,  70583.1,  72424.9, 343.72,  -70610.1,  72452
7200, 346.985,  70585.6,  72427.4, 344.106,  -70612.5,  72454.6
7300, 346.555,  70583.5,  72425.2, 343.676,  -70610.5,  72452.4
7400, 346.996,  70585.1,  72426.9, 344.117,  -70612.1,  72454.1
7500, 346.574,  70584,  72425.8, 343.695,  -70611,  72452.9
7600, 346.953,  70584.6,  72426.4, 344.074,  -70611.6,  72453.6
7700, 346.635,  70584.5,  72426.2, 343.756,  -70611.4,  72453.4
7800, 346.88,  70584.2,  72426, 344.001,  -70611.2,  72453.2
7900, 346.713,  70584.8,  72426.6, 343.834,  -70611.8,  72453.7
8000, 346.802,  70584,  72425.7, 343.923,  -70610.9,  72452.9
8100, 346.786,  70584.9,  72426.7, 343.906,  -70611.9,  72453.9
8200, 346.739,  70583.9,  72425.7, 343.86,  -70610.9,  72452.8
8300, 346.837,  70584.9,  72426.7, 343.958,  -70611.9,  72453.9
8400, 346.702,  70584,  72425.8, 343.823,  -70611,  72452.9
8500, 346.859,  70584.8,  72426.6, 343.98,  -70611.8,  72453.7
8600, 346.693,  70584.2,  72425.9, 343.814,  -70611.1,  72453.1
8700, 346.855,  70584.6,  72426.4, 343.976,  -70611.6,  72453.6
8800, 346.708,  70584.4,  72426.1, 343.829,  -70611.3,  72453.3
8900, 346.833,  70584.4,  72426.2, 343.954,  -70611.4,  72453.4
9000, 346.736,  70584.5,  72426.3, 343.856,  -70611.5,  72453.4
9100, 346.802,  70584.3,  72426.1, 343.923,  -70611.3,  72453.2
9200, 346.766,  70584.6,  72426.4, 343.887,  -70611.6,  72453.5
