    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 3373.37,  63932.4,  65655.2, 3371.23,  -63937.9,  65660.9
200, 3410.73,  57992.6,  59549, 3408.57,  -57999.2,  59555.9
300, 3785.15,  56860.6,  58406.8, 3783.5,  -56866.8,  58413.2
400, 3799.76,  55349.8,  56840.2, 3797.66,  -55356.2,  56846.7
500, 3209.16,  52167.4,  53579.3, 3207.66,  -52172.6,  53584.7
600, 3103.05,  53607.7,  55077.1, 3100.86,  -53616,  55085.6
700, 2803.53,  53611.5,  55094.3, 2801.28,  -53619.8,  55102.8
800, 2756.88,  53973.4,  55466.9, 2754.56,  -53978.9,  55472.6
900, 2373.42,  56774.4,  58364.2, 2371.15,  -56781.7,  58371.6
1000, 2162.07,  57065.1,  58673.6, 2159.79,  -57073.4,  58682.1
1100, 2225.53,  57618.4,  59232.7, 2222.96,  -57625.2,  59239.7
1200, 2185.35,  57191.9,  58799.1, 2182.89,  -57198.4,  58805.8
1300, 2174.79,  56680.4,  58269.1, 2172.31,  -56688.4,  58277.4
1400, 2502.28,  56393.1,  57969.1, 2499.66,  -56400.7,  57976.8
1500, 2388.89,  55898.9,  57464.6, 2386.3,  -55906.2,  57472
1600, 2430.23,  56224.8,  57793.7, 2427.46,  -56233.5,  57802.7
1700, 2515.98,  56023,  57587.5, 2513.28,  -56031.7,  57596.5
1800, 2384.62,  55799.2,  57360.3, 2382.05,  -55807.4,  57368.8
1900, 2389.64,  56629.8,  58218.7, 2387.15,  -56638.2,  58227.3
2000, 2463.09,  56161.6,  57734.6, 2460.53,  -56170.2,  57743.5
2100, 2361.8,  56214,  57783.2, 2359.14,  -56222.7,  57792.1
2200, 2385.83,  56413.5,  57992.9, 2383.34,  -56421.8,  58001.4
2300, 2391.28,  56207.4,  57783.9, 2388.69,  -56215.8,  57792.5
2400, 2415.01,  56275.8,  57846.6, 2412.42,  -56284.5,  57855.6
2500, 2420.51,  56200,  57770.3, 2417.93,  -56208.2,  57778.8
2600, 2363.22,  56184.7,  57760.3, 2360.72,  -56192.8,  57768.6
2700, 2411.04,  56409.7,  57987.9, 2408.43,  -56418.2,  57996.6
2800, 2440.82,  56131.9,  57700.1, 2438.2,  -56139.9,  57708.3
2900, 2343.97,  56244.6,  57821, 2341.4,  -56252.5,  57829
3000, 2433.76,  56406.7,  57986.2, 2431.13,  -56414.9,  57994.6
3100, 2406.64,  56220.2,  57793.4, 2403.95,  -56228.3,  57801.7
3200, 2367.42,  56231.9,  57804.3, 2364.71,  -56240.1,  57812.7
3300, 2433.13,  56346.6,  57926.2, 2430.54,  -56354.6,  57934.4
3400, 2403.71,  56227.9,  57802.3, 2401,  -56236,  57810.6
3500, 2376.5,  56345.3,  57919.6, 2373.72,  -56353.8,  57928.2
3600, 2422.54,  56178.7,  57751.9, 2419.89,  -56187,  57760.4
3700, 2393.06,  56263.2,  57839.6, 2390.36,  -56271.4,  57847.9
3800, 2409.63,  56365,  57940.5, 2406.88,  -56373.4,  57949.1
3900, 2393.17,  56155.4,  57726.8, 2390.5,  -56163.7,  57735.3
4000, 2395.38,  56276.8,  57852.9, 2392.72,  -56285.1,  57861.3
4100, 2426.64,  56324.5,  57900.3, 2423.99,  -56332.8,  57908.8
4200, 2376.34,  56193.3,  57765.6, 2373.66,  -56201.6,  57774.1
4300, 2400.62,  56295.4,  57870.8, 2398.01,  -56303.7,  57879.4
4400, 2428.77,  56260.3,  57835.3, 2426.16,  -56268.6,  57843.8
4500, 2374.85,  56232.6,  57805.6, 2372.2,  -56240.9,  57814
4600, 2398.46,  56313.5,  57889.5, 2395.87,  -56321.9,  57898.1
4700, 2427.96,  56201.3,  57774.6, 2425.37,  -56209.6,  57783.2
4800, 2379.29,  56283,  57857.5, 2376.68,  -56291.2,  57865.9
4900, 2400.76,  56288.8,  57863.6, 2398.17,  -56297.2,  57872.2
5000, 2407.06,  56210,  57784.2, 2404.47,  -56218.3,  57792.7
5100, 2403.46,  56283.6,  57857.6, 2400.86,  -56291.7,  57866
5200, 2396.62,  56275.1,  57849.7, 2394.03,  -56283.3,  57858.2
5300, 2392.21,  56224.4,  57798.7, 2389.59,  -56232.7,  57807.2
5400, 2413.81,  56305.1,  57880.5, 2411.18,  -56313.3,  57888.9
5500, 2403.35,  56229.7,  57802.7, 2400.73,  -56237.9,  57811.1
5600, 2377.83,  56272.1,  57847.7, 2375.17,  -56280.3,  57856.1
5700, 2421.91,  56292.3,  57867.8, 2419.25,  -56300.6,  57876.3
5800, 2401.19,  56230.3,  57803.6, 2398.53,  -56238.5,  57812
5900, 2383.02,  56280,  57854.9, 2380.34,  -56288.2,  57863.3
6000, 2413.26,  56286.9,  57863.2, 2410.61,  -56295.1,  57871.6
6100, 2405.09,  56236.5,  57810, 2402.4,  -56244.7,  57818.4
6200, 2389.18,  56294.3,  57869.1, 2386.5,  -56302.4,  57877.5
6300, 2405.67,  56252.4,  57827.7, 2403.02,  -56260.7,  57836.1
6400, 2401.95,  56274.3,  57849.6, 2399.26,  -56282.6,  57858.1
6500, 2403.43,  56282,  57856.1, 2400.74,  -56290.3,  57864.6
6600, 2393.24,  56244.1,  57818.8, 2390.6,  -56252.3,  57827.3
6700, 2403.52,  56287.5,  57863.4, 2400.85,  -56295.8,  57872
6800, 2409.39,  56283.8,  57858.5, 2406.73,  -56292.1,  57867
6900, 2389.82,  56239.2,  57813.1, 2387.19,  -56247.5,  57821.6
7000, 2401.51,  56297.1,  57873.5, 2398.87,  -56305.4,  57882
7100, 2413.21,  56272.6,  57847.6, 2410.58,  -56280.9,  57856.1
7200, 2388.93,  56259,  57833.1, 2386.29,  -56267.3,  57841.6
7300, 2401.33,  56286.3,  57862.1, 2398.71,  -56294.6,  57870.6
7400, 2410.86,  56265.3,  57840.6, 2408.25,  -56273.6,  57849.1
7500, 2393.99,  56278.1,  57852.7, 2391.36,  -56286.4,  57861.2
7600, 2399.73,  56274.5,  57849.5, 2397.12,  -56282.7,  57858
7700, 2405.44,  56260.3,  57835.7, 2402.83,  -56268.6,  57844.2
7800, 2402.17,  56288.9,  57863.9, 2399.54,  -56297.2,  57872.3
7900, 2397.6,  56267.6,  57842.2, 2394.97,  -56275.8,  57850.7
8000, 2400.21,  56259.7,  57834.9, 2397.59,  -56268,  57843.4
8100, 2407.68,  56292.7,  57868.2, 2405.04,  -56300.9,  57876.7
8200, 2398.82,  56260.1,  57834.4, 2396.18,  -56268.3,  57842.8
8300, 2394.26,  56271.6,  57847, 2391.62,  -56279.9,  57855.4
8400, 2411.75,  56280.6,  57856, 2409.1,  -56288.8,  57864.4
8500, 2399,  56265.3,  57839.8, 2396.35,  -56273.5,  57848.2
8600, 2394.37,  56274.5,  57849.5, 2391.72,  -56282.8,  57858
8700, 2408.16,  56275.2,  57850.7, 2405.51,  -56283.4,  57859.2
8800, 2403.15,  56264.4,  57839, 2400.49,  -56272.7,  57847.4
8900, 2394.77,  56282.3,  57857.3, 2392.1,  -56290.6,  57865.8
9000, 2404.43,  56262.6,  57837.8, 2401.78,  -56270.9,  57846.2
9100, 2403.74,  56275.2,  57850.3, 2401.08,  -56283.5,  57858.8
9200, 2400.38,  56275.4,  57850, 2397.72,  -56283.7,  57858.5
9300, 2397.45,  56264,  57839.1, 2394.8,  -56272.3,  57847.6
9400, 2405.72,  56275.9,  57851.2, 2403.08,  -56284.2,  57859.7
9500, 2403.24,  56275.4,  57850.2, 2400.59,  -56283.7,  57858.6
9600, 2395.54,  56261,  57835.7, 2392.91,  -56269.3,  57844.2
9700, 2403.44,  56281.4,  57857, 2400.81,  -56289.7,  57865.5
9800, 2406.82,  56268.5,  57843.3, 2404.18,  -56276.8,  57851.7
9900, 2394.72,  56268.3,  57842.9, 2392.09,  -56276.5,  57851.4
10000, 2402.27,  56275.5,  57850.9, 2399.64,  -56283.8,  57859.4
10100, 2406.11,  56269.9,  57844.9, 2403.48,  -56278.1,  57853.4
10200, 2398.28,  56271,  57845.6, 2395.65,  -56279.3,  57854.1
10300, 2399.58,  56272.2,  57847.4, 2396.95,  -56280.5,  57855.9
10400, 2404.81,  56268.2,  57843.4, 2402.18,  -56276.4,  57851.8
10500, 2401.68,  56276.7,  57851.5, 2399.04,  -56285,  57860
10600, 2398.73,  56266.5,  57841.2, 2396.09,  -56274.7,  57849.7
10700, 2401.84,  56269.9,  57845.1, 2399.21,  -56278.1,  57853.6
10800, 2404.95,  56277.5,  57852.5, 2402.31,  -56285.7,  57860.9
10900, 2398.73,  56265.3,  57839.9, 2396.09,  -56273.5,  57848.3
11000, 2399.4,  56270.7,  57845.9, 2396.76,  -56279,  57854.4
11100, 2406.28,  56275.4,  57850.5, 2403.64,  -56283.7,  57859
11200, 2399.79,  56267.2,  57841.8, 2397.14,  -56275.4,  57850.3
11300, 2398.34,  56270.8,  57845.8, 2395.69,  -56279.1,  57854.3
11400, 2405.12,  56272.4,  57847.6, 2402.47,  -56280.6,  57856.1
11500, 2401.93,  56269.2,  57843.9, 2399.28,  -56277.4,  57852.3
11600, 2398.1,  56272.2,  57847.1, 2395.45,  -56280.5,  57855.6
11700, 2403.17,  56267.4,  57842.5, 2400.52,  -56275.7,  57851
11800, 2403.07,  56273.2,  57848.1, 2400.42,  -56281.4,  57856.6
11900, 2399.93,  56270.4,  57845.1, 2397.28,  -56278.7,  57853.6
12000, 2399.95,  56267.1,  57842.2, 2397.31,  -56275.4,  57850.7
12100, 2404.3,  56272.7,  57847.7, 2401.66,  -56281,  57856.2
12200, 2401.25,  56271.4,  57846.1, 2398.61,  -56279.6,  57854.6
12300, 2398.68,  56265.7,  57840.5, 2396.04,  -56274,  57849
12400, 2403.28,  56273.9,  57849.1, 2400.65,  -56282.2,  57857.6
12500, 2403.4,  56269,  57843.7, 2400.76,  -56277.2,  57852.2
12600, 2397.86,  56269,  57843.7, 2395.23,  -56277.2,  57852.2
12700, 2402.44,  56270.6,  57845.7, 2399.81,  -56278.9,  57854.2
12800, 2403.63,  56270.2,  57845.2, 2401,  -56278.5,  57853.6
12900, 2399.51,  56269.3,  57844, 2396.87,  -56277.6,  57852.5
13000, 2400.41,  56270,  57845, 2397.77,  -56278.3,  57853.5
13100, 2403.74,  56268.9,  57843.9, 2401.1,  -56277.2,  57852.4
13200, 2401.02,  56272,  57846.8, 2398.38,  -56280.3,  57855.3
13300, 2399.71,  56267.2,  57842, 2397.08,  -56275.5,  57850.5
13400, 2402.26,  56270.3,  57845.4, 2399.62,  -56278.5,  57853.8
13500, 2403.05,  56271.5,  57846.3, 2400.41,  -56279.8,  57854.8
13600, 2399.29,  56267.7,  57842.4, 2396.65,  -56275.9,  57850.9
13700, 2401.11,  56269.6,  57844.6, 2398.47,  -56277.9,  57853.1
13800, 2403.7,  56271.8,  57846.7, 2401.06,  -56280,  57855.2
13900, 2400.17,  56267.8,  57842.5, 2397.53,  -56276.1,  57851
14000, 2399.93,  56270,  57844.9, 2397.28,  -56278.2,  57853.4
14100, 2403.54,  56270.4,  57845.4, 2400.9,  -56278.6,  57853.9
14200, 2401.28,  56269.5,  57844.2, 2398.63,  -56277.7,  57852.7
14300, 2399.62,  56269.5,  57844.4, 2396.97,  -56277.8,  57852.9
14400, 2402.42,  56269.3,  57844.3, 2399.78,  -56277.5,  57852.8
14500, 2402.34,  56270.8,  57845.7, 2399.7,  -56279.1,  57854.2
14600, 2400.05,  56269.3,  57844.1, 2397.41,  -56277.6,  57852.5
14700, 2400.97,  56268.7,  57843.6, 2398.33,  -56276.9,  57852.1
14800, 2402.99,  56271.3,  57846.2, 2400.35,  -56279.5,  57854.7
14900, 2400.82,  56269.7,  57844.5, 2398.18,  -56278,  57852.9
15000, 2400.05,  56268.2,  57843, 2397.41,  -56276.4,  57851.5
15100, 2402.69,  56271.5,  57846.5, 2400.05,  -56279.8,  57855
15200, 2401.94,  56269.5,  57844.3, 2399.3,  -56277.7,  57852.7
15300, 2399.55,  56269.1,  57844, 2396.91,  -56277.4,  57852.5
15400, 2402.14,  56270.2,  57845.2, 2399.5,  -56278.4,  57853.6
15500, 2402.41,  56270.3,  57845.2, 2399.77,  -56278.6,  57853.7
15600, 2400.16,  56269.3,  57844.1, 2397.52,  -56277.6,  57852.6
15700, 2401,  56269.8,  57844.8, 2398.37,  -56278.1,  57853.3
15800, 2402.73,  56270,  57844.9, 2400.09,  -56278.2,  57853.4
15900, 2400.87,  56270.7,  57845.5, 2398.23,  -56278.9,  57853.9
16000, 2400.46,  56268.6,  57843.5, 2397.82,  -56276.9,  57852
16100, 2402.14,  56270.6,  57845.6, 2399.5,  -56278.8,  57854.1
16200, 2402,  56270.5,  57845.3, 2399.36,  -56278.7,  57853.8
16300, 2400.06,  56269.1,  57843.9, 2397.42,  -56277.3,  57852.4
16400, 2401.6,  56269.9,  57844.9, 2398.96,  -56278.2,  57853.4
16500, 2402.44,  56271,  57845.9, 2399.8,  -56279.3,  57854.4
16600, 2400.52,  56269,  57843.8, 2397.88,  -56277.3,  57852.3
16700, 2400.78,  56270.1,  57845.1, 2398.14,  -56278.4,  57853.6
16800, 2402.61,  56270.3,  57845.3, 2399.97,  -56278.6,  57853.7
16900, 2401.07,  56270.1,  57844.9, 2398.42,  -56278.3,  57853.4
17000, 2400.48,  56269.6,  57844.5, 2397.84,  -56277.9,  57853
17100, 2402.07,  56270.2,  57845.2, 2399.43,  -56278.5,  57853.7
17200, 2401.83,  56270.4,  57845.3, 2399.19,  -56278.7,  57853.8
17300, 2400.45,  56269.7,  57844.6, 2397.8,  -56278,  57853.1
17400, 2401.42,  56269.7,  57844.6, 2398.78,  -56277.9,  57853.1
17500, 2402.22,  56270.9,  57845.8, 2399.58,  -56279.2,  57854.3
17600, 2400.86,  56269.8,  57844.6, 2398.22,  -56278,  57853.1
17700, 2400.78,  56269.6,  57844.5, 2398.14,  -56277.8,  57853
17800, 2402.24,  56270.8,  57845.8, 2399.6,  -56279.1,  57854.3
17900, 2401.41,  56270,  57844.9, 2398.77,  -56278.3,  57853.3
18000, 2400.47,  56269.7,  57844.6, 2397.83,  -56277.9,  57853
18100, 2401.91,  56270.4,  57845.4, 2399.27,  -56278.7,  57853.9
18200, 2401.86,  56270.4,  57845.3, 2399.22,  -56278.6,  57853.7
18300, 2400.61,  56269.8,  57844.7, 2397.97,  -56278.1,  57853.1
18400, 2401.34,  56270.1,  57845.1, 2398.7,  -56278.3,  57853.5
18500, 2402.12,  56270.4,  57845.3, 2399.48,  -56278.7,  57853.8
18600, 2400.97,  56270.3,  57845.1, 2398.33,  -56278.5,  57853.6
18700, 2400.93,  56269.6,  57844.5, 2398.29,  -56277.8,  57853
18800, 2401.95,  56270.6,  57845.6, 2399.31,  -56278.9,  57854
18900, 2401.55,  56270.3,  57845.2, 2398.91,  -56278.6,  57853.7
19000, 2400.66,  56269.7,  57844.6, 2398.01,  -56278,  57853.1
19100, 2401.68,  56270.2,  57845.2, 2399.04,  -56278.5,  57853.7
19200, 2401.87,  56270.6,  57845.6, 2399.23,  -56278.9,  57854
19300, 2400.83,  56269.7,  57844.5, 2398.18,  -56277.9,  57853
19400, 2401.2,  56270.2,  57845.2, 2398.56,  -56278.5,  57853.7
19500, 2402.06,  56270.4,  57845.3, 2399.42,  -56278.6,  57853.8
19600, 2401.1,  56270.2,  57845, 2398.45,  -56278.4,  57853.5
19700, 2400.96,  56269.9,  57844.8, 2398.32,  -56278.1,  57853.2
19800, 2401.84,  56270.4,  57845.4, 2399.2,  -56278.7,  57853.8
19900, 2401.55,  56270.3,  57845.2, 2398.91,  -56278.6,  57853.7
20000, 2400.82,  56270,  57844.8, 2398.18,  -56278.2,  57853.3
20100, 2401.55,  56270,  57845, 2398.91,  -56278.3,  57853.5
20200, 2401.8,  56270.6,  57845.5, 2399.16,  -56278.9,  57854
20300, 2401.01,  56269.9,  57844.8, 2398.37,  -56278.1,  57853.2
20400, 2401.16,  56270,  57845, 2398.52,  -56278.3,  57853.4
20500, 2401.91,  56270.5,  57845.4, 2399.27,  -56278.7,  57853.9
20600, 2401.27,  56270.1,  57845, 2398.63,  -56278.4,  57853.5
20700, 2400.96,  56269.9,  57844.8, 2398.32,  -56278.1,  57853.3
20800, 2401.74,  56270.4,  57845.3, 2399.1,  -56278.6,  57853.8
20900, 2401.58,  56270.2,  57845.1, 2398.94,  -56278.5,  57853.6
21000, 2400.93,  56270,  57844.9, 2398.29,  -56278.2,  57853.3
21100, 2401.47,  56270.1,  57845.1, 2398.83,  -56278.4,  57853.5
21200, 2401.76,  56270.4,  57845.3, 2399.12,  -56278.6,  57853.8
21300, 2401.1,  56270.1,  57845, 2398.46,  -56278.3,  57853.4
21400, 2401.19,  56269.9,  57844.9, 2398.55,  -56278.2,  57853.3
21500, 2401.76,  56270.4,  57845.3, 2399.12,  -56278.6,  57853.8
21600, 2401.37,  56270.2,  57845.1, 2398.73,  -56278.4,  57853.5
21700, 2401.01,  56269.9,  57844.8, 2398.37,  -56278.1,  57853.3
21800, 2401.63,  56270.2,  57845.2, 2398.99,  -56278.5,  57853.7
21900, 2401.6,  56270.3,  57845.2, 2398.96,  -56278.6,  57853.7
22000, 2401.04,  56269.9,  57844.8, 2398.4,  -56278.1,  57853.2
22100, 2401.38,  56270.2,  57845.1, 2398.74,  -56278.4,  57853.6
22200, 2401.74,  56270.3,  57845.2, 2399.1,  -56278.5,  57853.7
22300, 2401.17,  56270.1,  57845, 2398.53,  -56278.3,  57853.4
22400, 2401.2,  56270,  57844.9, 2398.56,  -56278.2,  57853.4
