    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, -507.911,  94469.5,  96764.2, -509.006,  -94477.9,  96772.8
200, -66.8557,  91790.3,  94044.7, -68.2902,  -91801.5,  94056.1
300, -492.924,  89625.5,  91839.9, -493.921,  -89633,  91847.2
400, -10.1766,  90933.3,  93171.7, -11.5133,  -90949.2,  93187.9
500, -33.5477,  90700.9,  92943.5, -35.5027,  -90714.7,  92957.4
600, -347.242,  92818.6,  95121.8, -346.768,  -92832,  95135.3
700, 255.129,  91791.4,  94070.7, 253.789,  -91800.4,  94079.8
800, 74.5131,  90704.8,  92947.1, 73.5244,  -90721.9,  92964.4
900, 302.228,  91671.5,  93941.2, 301.025,  -91683.8,  93953.6
1000, -15.6835,  91449,  93704.1, -16.8042,  -91460.1,  93715.3
1100, -68.9493,  91445.2,  93707.2, -69.3063,  -91462.2,  93724.4
1200, 122.918,  92156.7,  94430.7, 121.306,  -92172.4,  94446.6
1300, -83.1259,  92714.4,  94992.1, -85.3498,  -92727,  95004.6
1400, -248.957,  91408.1,  93652.8, -250.167,  -91421.7,  93666.6
1500, -113.944,  90144.1,  92367.6, -115.092,  -90156.6,  92380.3
1600, -49.1958,  90687.9,  92933.6, -49.3049,  -90705.6,  92951.5
1700, 153.984,  91485.4,  93736.7, 152.346,  -91497.3,  93748.7
1800, 101.163,  92128.7,  94398.4, 99.1001,  -92140.8,  94410.6
1900, -99.3855,  92616.7,  94895.1, -99.9211,  -92629.7,  94908.2
2000, 112.291,  92062.1,  94330.9, 110.418,  -92076.7,  94345.7
2100, 100.708,  91761.8,  94025.9, 98.6021,  -91783.9,  94048.3
2200, 26.2296,  91596.5,  93854.9, 24.2412,  -91606.9,  93865.3
2300, -140.248,  91262.7,  93507.6, -141.977,  -91273.7,  93518.6
2400, -36.2302,  90622.7,  92860.1, -37.4949,  -90638.9,  92876.4
2500, 171.033,  91615,  93877.7, 169.241,  -91628.9,  93891.9
2600, -20.6221,  91003.7,  93246.2, -22.7058,  -91019.9,  93262.6
2700, 34.67,  91065.8,  93317.1, 33.564,  -91080.1,  93331.5
2800, 75.9617,  91061.1,  93312.2, 74.9648,  -91075.7,  93327
2900, 65.0565,  91734.4,  93998.2, 63.0716,  -91753,  94017.1
3000, 26.4253,  91926.5,  94193.5, 24.7501,  -91938.4,  94205.6
3100, -110.897,  91944,  94210.4, -112.703,  -91953.1,  94219.5
3200, -155.281,  91168,  93419.4, -156.58,  -91183.1,  93434.7
3300, 7.11084,  90885,  93129.5, 5.42861,  -90897.4,  93142
