    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 3383.65,  63899.1,  65621.2, 3380.97,  -63908.4,  65630.7
200, 3472.95,  57730,  59276.4, 3469.56,  -57740.8,  59287.4
300, 3890,  56441.9,  57969.8, 3887,  -56451.8,  57979.9
400, 3962.26,  54764.7,  56230.4, 3959,  -54775.4,  56241.4
500, 3367.86,  51417.2,  52801.3, 3365.73,  -51427.4,  52811.6
600, 3303.29,  52978.7,  54424.1, 3301.36,  -52985.3,  54430.7
700, 2963.08,  52797.8,  54251.4, 2960.78,  -52805.4,  54259.1
800, 2886.25,  53341.4,  54811.3, 2882.24,  -53352.1,  54822.2
900, 2478.88,  56191,  57762.3, 2475.37,  -56201.6,  57773.1
1000, 2267.13,  56593.4,  58187.3, 2263.91,  -56605.6,  58199.7
1100, 2256.13,  57182.9,  58782, 2252.68,  -57193.8,  58793.1
1200, 2258.32,  56804.7,  58400.6, 2255.11,  -56814.2,  58410.2
1300, 2273.21,  56094.8,  57666.6, 2269.62,  -56107,  57679.1
1400, 2595.05,  55976,  57538.7, 2590.79,  -55990.2,  57553.3
1500, 2490.26,  55372.2,  56921.7, 2487.4,  -55381,  56930.6
1600, 2504.48,  55595.7,  57144.3, 2501.8,  -55603.9,  57152.7
1700, 2617.08,  55510.3,  57057.4, 2614.22,  -55519.2,  57066.5
1800, 2514.46,  55267.7,  56813.3, 2511.9,  -55275.9,  56821.5
1900, 2488.43,  56078.4,  57647.7, 2485.72,  -56087.2,  57656.7
2000, 2551,  55756.5,  57313.7, 2548.22,  -55766.1,  57323.4
2100, 2447.73,  55550.7,  57102.9, 2444.82,  -55560.6,  57113
2200, 2499.62,  56022.9,  57593.3, 2496.66,  -56033,  57603.6
2300, 2524.64,  55757.6,  57318.1, 2521.88,  -55767.3,  57328
2400, 2449.9,  55660.3,  57213.7, 2447.23,  -55669.3,  57222.8
2500, 2531.18,  55767.3,  57327.6, 2528.47,  -55776.8,  57337.3
2600, 2528.63,  55686.9,  57246.4, 2525.96,  -55696.2,  57255.9
2700, 2449.76,  55783.9,  57341.2, 2447.23,  -55792.4,  57349.8
2800, 2535.17,  55709.7,  57266.5, 2532.39,  -55719.5,  57276.5
2900, 2515.48,  55641,  57199.1, 2512.63,  -55650.8,  57209.1
3000, 2474.34,  55804.8,  57362.3, 2471.58,  -55814,  57371.6
3100, 2499.73,  55740,  57299, 2497.05,  -55749.3,  57308.5
3200, 2521.71,  55594,  57149, 2518.98,  -55603.2,  57158.4
3300, 2498.24,  55814.8,  57372.8, 2495.52,  -55824,  57382.1
3400, 2483.93,  55673.3,  57229.9, 2481.25,  -55682.6,  57239.4
3500, 2489.29,  55698.5,  57257.5, 2486.66,  -55707.3,  57266.4
3600, 2546.93,  55738,  57293.3, 2544.14,  -55747.4,  57302.9
3700, 2468.76,  55657.9,  57213.9, 2465.91,  -55667.7,  57223.9
3800, 2479.82,  55742.7,  57302.4, 2477.13,  -55751.7,  57311.6
3900, 2542.11,  55760,  57318.1, 2539.37,  -55769.2,  57327.4
4000, 2489.97,  55591.7,  57144.1, 2487.17,  -55601.3,  57153.8
4100, 2471.8,  55790.1,  57351.1, 2469.07,  -55799.3,  57360.4
4200, 2535.11,  55732.6,  57290.9, 2532.44,  -55741.4,  57299.9
4300, 2483.95,  55640.2,  57194.1, 2481.19,  -55649.5,  57203.6
4400, 2495.56,  55738.2,  57296.2, 2492.82,  -55747.4,  57305.6
4500, 2518.89,  55726.6,  57285.6, 2516.13,  -55735.8,  57294.9
4600, 2481.78,  55680.7,  57235.9, 2479.04,  -55689.9,  57245.2
4700, 2502.59,  55728.8,  57286.2, 2499.77,  -55738.2,  57295.7
4800, 2519.78,  55676.7,  57234.1, 2516.95,  -55686.1,  57243.7
4900, 2480.7,  55729.5,  57286.3, 2477.9,  -55738.7,  57295.7
5000, 2501.73,  55723.9,  57281.2, 2498.98,  -55733,  57290.4
5100, 2515.42,  55657.1,  57213.8, 2512.62,  -55666.4,  57223.2
5200, 2493.09,  55738.3,  57295.4, 2490.33,  -55747.4,  57304.7
5300, 2495.22,  55727.1,  57284.8, 2492.49,  -55736.2,  57294
5400, 2506.13,  55669.1,  57226.1, 2503.38,  -55678.3,  57235.5
5500, 2508.47,  55732.1,  57288.9, 2505.65,  -55741.5,  57298.4
5600, 2492.97,  55709.6,  57266.9, 2490.17,  -55719,  57276.5
5700, 2495.68,  55703.8,  57262, 2492.91,  -55713.1,  57271.4
5800, 2517.16,  55733.7,  57290.7, 2514.38,  -55743,  57300.2
5900, 2495.04,  55683,  57239.2, 2492.22,  -55692.5,  57248.9
6000, 2490.37,  55728.2,  57287.2, 2487.65,  -55737.4,  57296.5
6100, 2518.82,  55744.7,  57302.6, 2516.1,  -55753.8,  57311.9
6200, 2495.14,  55675.4,  57231.2, 2492.37,  -55684.8,  57240.6
6300, 2492.77,  55728.1,  57286.8, 2490.03,  -55737.4,  57296.3
6400, 2517.24,  55748.2,  57307, 2514.5,  -55757.5,  57316.4
6500, 2493.54,  55691.1,  57247.1, 2490.75,  -55700.4,  57256.7
6600, 2495.08,  55725.4,  57283.7, 2492.31,  -55734.9,  57293.3
6700, 2517.84,  55730.7,  57289.4, 2515.07,  -55740.1,  57298.9
6800, 2491.55,  55717.3,  57274.3, 2488.81,  -55726.5,  57283.7
6900, 2496.02,  55726.7,  57284.6, 2493.31,  -55735.9,  57294
7000, 2515.43,  55714.6,  57273, 2512.7,  -55723.9,  57282.5
7100, 2496.48,  55725.7,  57283, 2493.74,  -55734.9,  57292.4
7200, 2492.87,  55736.8,  57295, 2490.16,  -55746.1,  57304.4
7300, 2511.99,  55703,  57261, 2509.24,  -55712.4,  57270.6
7400, 2501.37,  55732.7,  57290.3, 2498.6,  -55742,  57299.8
7500, 2494.53,  55728.8,  57286.6, 2491.78,  -55738.2,  57296.1
7600, 2502.7,  55713.6,  57272.2, 2499.96,  -55722.9,  57281.6
7700, 2508.74,  55728.5,  57285.9, 2505.98,  -55737.7,  57295.4
7800, 2494.58,  55724.1,  57281.7, 2491.84,  -55733.3,  57291.1
7900, 2498.59,  55714,  57272.4, 2495.87,  -55723.2,  57281.8
8000, 2508.84,  55739.5,  57297.7, 2506.1,  -55748.7,  57307
8100, 2498.93,  55707.8,  57264.6, 2496.17,  -55717.1,  57274.1
8200, 2493.7,  55722.3,  57280.9, 2490.95,  -55731.6,  57290.3
8300, 2511.07,  55735.3,  57293.5, 2508.31,  -55744.5,  57302.9
8400, 2497.42,  55712.6,  57269.8, 2494.64,  -55721.9,  57279.2
8500, 2495.64,  55714.3,  57272.1, 2492.87,  -55723.6,  57281.6
8600, 2508.86,  55737.1,  57295.7, 2506.1,  -55746.3,  57305.1
8700, 2499.11,  55710.5,  57267.5, 2496.36,  -55719.7,  57276.8
8800, 2493.66,  55721.6,  57279.5, 2490.91,  -55730.8,  57289
8900, 2510.68,  55721.1,  57279.2, 2507.92,  -55730.4,  57288.6
9000, 2497.79,  55720.4,  57277.8, 2495.03,  -55729.6,  57287.2
9100, 2495.14,  55719,  57276.5, 2492.38,  -55728.2,  57286
9200, 2507.43,  55719,  57277.2, 2504.65,  -55728.3,  57286.6
9300, 2501.81,  55715.4,  57272.6, 2499.03,  -55724.7,  57282
9400, 2493.49,  55725.8,  57283.6, 2490.73,  -55735.1,  57293
9500, 2505.97,  55711.2,  57269.1, 2503.21,  -55720.4,  57278.5
9600, 2502.85,  55721,  57278.5, 2500.09,  -55730.2,  57287.9
9700, 2496.31,  55717.9,  57275.3, 2493.55,  -55727.2,  57284.7
9800, 2500.84,  55716.5,  57274.6, 2498.09,  -55725.7,  57284
9900, 2506.05,  55719,  57276.5, 2503.3,  -55728.3,  57285.9
10000, 2496.8,  55717.8,  57275.1, 2494.03,  -55727.1,  57284.6
10100, 2499.5,  55712,  57269.9, 2496.74,  -55721.3,  57279.3
10200, 2505.48,  55726.7,  57284.6, 2502.72,  -55736,  57294
10300, 2499.52,  55711.6,  57268.6, 2496.75,  -55720.9,  57278.1
10400, 2496.88,  55714.9,  57272.8, 2494.13,  -55724.2,  57282.2
10500, 2506.89,  55724.2,  57282.1, 2504.15,  -55733.5,  57291.5
10600, 2499.29,  55716.2,  57273.4, 2496.54,  -55725.4,  57282.8
10700, 2497.13,  55711.8,  57269.4, 2494.38,  -55721.1,  57278.9
10800, 2506.04,  55725.3,  57283.4, 2503.29,  -55734.6,  57292.9
10900, 2501.02,  55715.3,  57272.5, 2498.26,  -55724.6,  57282
11000, 2495.71,  55717.1,  57274.7, 2492.95,  -55726.4,  57284.2
11100, 2506.38,  55719.5,  57277.5, 2503.62,  -55728.8,  57286.9
11200, 2501.47,  55719.1,  57276.5, 2498.7,  -55728.4,  57286
11300, 2496.29,  55717.5,  57275, 2493.55,  -55726.8,  57284.5
11400, 2504.31,  55719.9,  57277.9, 2501.57,  -55729.2,  57287.4
11500, 2503.42,  55717.8,  57275.3, 2500.66,  -55727,  57284.7
11600, 2496.37,  55720.6,  57278.2, 2493.62,  -55729.9,  57287.6
11700, 2502.85,  55717.6,  57275.6, 2500.11,  -55726.9,  57285
11800, 2503.91,  55720.8,  57278.4, 2501.15,  -55730,  57287.9
11900, 2498.01,  55718.9,  57276.3, 2495.25,  -55728.2,  57285.8
12000, 2500.62,  55718.5,  57276.5, 2497.87,  -55727.8,  57286
12100, 2504.6,  55721.6,  57279.4, 2501.84,  -55730.9,  57288.8
12200, 2499,  55719.4,  57276.9, 2496.25,  -55728.7,  57286.3
