    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, -25.0767,  91437.9,  93674.1, -28.7642,  -91175.7,  93354.2
200, 115.306,  91061.6,  93297.5, 103.059,  -90799.5,  92977.9
300, -289.598,  92854.3,  95144.1, -285.057,  -92571.8,  94802.5
400, 226.138,  91279.9,  93529.1, 214.199,  -90997.2,  93188.1
500, 145.55,  91707.2,  93946.6, 137.88,  -91466.7,  93649.4
600, 68.6233,  91924.8,  94189.1, 61.4023,  -91650.2,  93856.1
700, -204.971,  91244.4,  93482.2, -205.331,  -90988.2,  93168.5
800, -101.412,  90297.3,  92520.4, -108.095,  -90023.3,  92189
900, 63.9059,  92006.3,  94266.5, 55.5555,  -91732.1,  93934.1
1000, 29.3471,  91630.5,  93878.4, 23.1306,  -91369.5,  93559.6
1100, 90.474,  91725.1,  93976.4, 81.7047,  -91468.1,  93661.7
1200, -137.204,  90903.7,  93133.5, -139.442,  -90639.1,  92811.4
1300, 97.6611,  91678.6,  93929.1, 87.045,  -91413.9,  93606.6
1400, 29.5935,  91153.7,  93391.6, 23.2179,  -90888.8,  93069.1
1500, 96.644,  91666.2,  93917.6, 87.7645,  -91401.1,  93594.6
1600, -19.4125,  91724.4,  93974.6, -23.8779,  -91463.1,  93655.5
1700, 54.1947,  90829.7,  93062.3, 46.1668,  -90558.9,  92733.9
1800, -26.4974,  91498,  93743.3, -31.0469,  -91236,  93423.6
1900, 102.867,  91290.1,  93534.1, 92.335,  -91021.3,  93207.5
2000, -9.35316,  91636.7,  93886.7, -14.4095,  -91370.8,  93563
2100, -20.3768,  91232.9,  93472.9, -26.7989,  -90966.6,  93149.1
2200, 64.7984,  91563.4,  93813.5, 56.2465,  -91293.7,  93485.8
2300, -44.6287,  91021.3,  93255.1, -49.4637,  -90758.8,  92935.1
2400, 109.194,  91776.5,  94030.9, 98.6461,  -91508.4,  93704.8
2500, -35.9636,  91251.1,  93490.9, -40.7804,  -90984.7,  93166.7
2600, 19.4603,  91504.8,  93751.8, 12.0574,  -91239.6,  93428.8
2700, 26.6165,  91429.2,  93674.7, 19.5253,  -91162.4,  93350.1
2800, 30.951,  91144.7,  93382.8, 23.6508,  -90877.6,  93058
2900, 12.8964,  91693.5,  93944, 6.6755,  -91428.9,  93621.6
3000, 49.7535,  91177,  93416.7, 41.4514,  -90909.2,  93091.2
3100, -29.2538,  91512.4,  93759.4, -34.3767,  -91247,  93436.2
3200, 53.8616,  91290,  93532.3, 45.6516,  -91021.4,  93206
3300, 35.805,  91411.9,  93657.4, 28.3778,  -91142.3,  93329.9
3400, -15.373,  91295.7,  93536.4, -20.8056,  -91032.7,  93215.8
3500, 74.3114,  91592,  93842.4, 64.7958,  -91322.8,  93515.3
3600, -33.6394,  91140.1,  93377.9, -38.3923,  -90872.5,  93052.7
3700, 51.7946,  91542.9,  93790.9, 43.5044,  -91276.5,  93466.7
3800, 26.7417,  91348.7,  93592.7, 19.8095,  -91080.6,  93266.7
3900, 5.24713,  91291.3,  93532, -1.41278,  -91027.4,  93210.5
4000, 27.859,  91636.8,  93887.6, 20.6262,  -91368.2,  93561.1
4100, 25.9774,  91100.4,  93337.5, 18.7603,  -90833.4,  93012.8
4200, -8.0779,  91576.7,  93825.2, -13.8463,  -91311.6,  93502.4
4300, 64.6888,  91309.6,  93552.3, 56.0618,  -91041.9,  93226.8
4400, -5.23001,  91401.1,  93645.5, -11.4245,  -91133.2,  93319.8
4500, 15.341,  91394.8,  93638.7, 8.94455,  -91129.6,  93315.7
4600, 52.8593,  91409.7,  93655.4, 44.2762,  -91140.9,  93328.8
4700, -22.0339,  91252.5,  93492.6, -27.04,  -90987.3,  93169.7
4800, 67.6142,  91578,  93827.3, 58.5899,  -91309.7,  93501.1
4900, 0.11436,  91238.3,  93479.1, -5.81685,  -90970.4,  93153.5
5000, 13.608,  91417.9,  93662, 6.7582,  -91154.1,  93340.6
5100, 41.7276,  91481.5,  93729.2, 34.0385,  -91211.8,  93401.5
5200, 10.5919,  91181.5,  93419.9, 3.93899,  -90915.1,  93096
5300, 11.7571,  91610.7,  93860.4, 5.43336,  -91344.2,  93536.1
5400, 49.0632,  91237,  93477.9, 40.8036,  -90969.6,  93152.8
5500, -18.2664,  91420.4,  93664.9, -23.6995,  -91154.1,  93340.8
5600, 51.1614,  91432.1,  93677.6, 43.1898,  -91164,  93351.7
5700, 19.2305,  91323.7,  93566.7, 12.2145,  -91055.9,  93241
5800, -4.9495,  91381.4,  93624.7, -10.7544,  -91117.1,  93302.7
5900, 62.8802,  91491.9,  93739.5, 54.0677,  -91222.4,  93412.1
6000, -12.658,  91218.3,  93457.9, -18.1885,  -90951.4,  93133.3
6100, 35.6353,  91529.1,  93776.6, 28.2576,  -91263.5,  93453.2
6200, 30.8134,  91327.9,  93571.3, 23.2958,  -91059.5,  93245.1
6300, 0.945667,  91323.6,  93565.5, -5.2396,  -91057.8,  93242
6400, 36.8812,  91543.1,  93791.6, 29.4374,  -91274.9,  93465.5
6500, 25.3438,  91216.4,  93456.5, 18.1083,  -90949.2,  93131.6
6600, -6.89328,  91470.7,  93716.3, -12.6631,  -91205.9,  93393.8
6700, 59.6813,  91407.4,  93653, 51.0267,  -91137.8,  93325.5
6800, -5.95165,  91292.3,  93533.6, -11.8045,  -91026,  93209.7
6900, 24.5095,  91481.2,  93727.7, 17.5658,  -91215.5,  93404.2
7000, 42.1229,  91353.3,  93597.3, 34.1415,  -91085.2,  93271.4
7100, -11.8041,  91314.8,  93556.6, -17.5268,  -91048.7,  93232.8
7200, 52.4362,  91530,  93778, 44.4124,  -91262.5,  93452.7
7300, 10.5577,  91248.6,  93489.6, 3.77356,  -90981.7,  93164.9
7400, 7.75384,  91433.3,  93678, 1.51993,  -91168.6,  93355.6
