    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 226.578,  76214.4,  78196.1, 222.67,  -76241.8,  78223.8
200, -29.6613,  73599.7,  75482.5, -31.4647,  -73622.5,  75505.3
300, 108.503,  75728.6,  77683.9, 104.598,  -75749.9,  77705.2
400, 39.0481,  78938.6,  80937.2, 35.519,  -78970.3,  80969.3
500, 185.75,  74999.8,  76946, 182.487,  -75027.1,  76973.5
600, -106.538,  73270.4,  75177.5, -109.09,  -73293.7,  75200.9
700, 165.839,  74664.4,  76604.8, 163.572,  -74693.9,  76634.5
800, -2.83675,  75413.8,  77369, -5.80609,  -75444.4,  77399.9
900, 140.397,  74602.7,  76538.2, 138.578,  -74626.9,  76562.5
1000, 186.65,  74205.2,  76139.8, 182.992,  -74235.9,  76170.7
1100, 294.396,  75173.7,  77126.9, 291.499,  -75201.4,  77154.8
1200, 249.952,  75288.1,  77245.7, 247.148,  -75316.9,  77274.6
1300, 175.01,  75029.1,  76975.8, 171.569,  -75055,  77001.9
1400, 102.843,  74868,  76809.1, 100.049,  -74897.2,  76838.5
1500, 11.4488,  75050.3,  76992.6, 8.06703,  -75078.2,  77020.6
1600, -14.5777,  74897.4,  76837, -17.4422,  -74923.2,  76862.9
1700, -5.91355,  74631.3,  76568, -9.12372,  -74660,  76596.8
1800, 63.6526,  74556.1,  76493.7, 60.9446,  -74583.9,  76521.6
1900, 114.235,  74559.7,  76498.3, 111.311,  -74586.1,  76524.9
2000, 176.574,  74703.9,  76646.1, 173.745,  -74733.1,  76675.5
2100, 196.828,  74865,  76809.7, 193.646,  -74891.8,  76836.7
2200, 154.751,  74992.8,  76937.7, 151.776,  -75021.6,  76966.6
2300, 94.519,  75094.2,  77040.8, 91.0789,  -75121,  77067.7
2400, 27.6064,  75112.6,  77059.8, 24.5562,  -75141.7,  77089.1
2500, -20.1679,  75028,  76974.8, -23.5585,  -75054.4,  77001.3
2600, -26.0502,  74897.7,  76843.3, -28.902,  -74925.8,  76871.7
2700, 7.37307,  74750.5,  76693.2, 4.37944,  -74777.4,  76720.2
2800, 63.6331,  74659.8,  76599.9, 60.6232,  -74687.7,  76628
2900, 120.034,  74678.1,  76617.8, 117.285,  -74705,  76644.8
3000, 147.742,  74773.9,  76714.9, 144.57,  -74803,  76744.2
3100, 143.719,  74925,  76868.9, 140.669,  -74952,  76896
3200, 107.957,  75049.7,  76996, 104.685,  -75078.2,  77024.7
3300, 54.8244,  75117,  77065.4, 51.634,  -75144.7,  77093.2
3400, 8.30653,  75116.6,  77066, 5.07541,  -75144.5,  77094.1
3500, -18.2495,  75033.6,  76981.8, -21.4389,  -75060.6,  77009
3600, -11.0365,  74906.9,  76852.6, -13.9758,  -74934.6,  76880.4
3700, 23.4822,  74786.2,  76728.8, 20.4095,  -74813.6,  76756.3
3800, 65.6612,  74720.5,  76660.7, 62.7724,  -74748,  76688.4
3900, 103.297,  74753.4,  76694.1, 100.203,  -74781.1,  76722
4000, 119.96,  74853.8,  76796.6, 116.99,  -74882.1,  76825.1
4100, 110.676,  74972.4,  76917.8, 107.45,  -74999.8,  76945.4
4200, 81.4365,  75072.8,  77020.7, 78.2874,  -75101.2,  77049.3
4300, 40.5251,  75113.7,  77062.7, 37.2305,  -75140.9,  77090.1
4400, 6.01785,  75087.8,  77036.7, 2.95233,  -75116,  77065.1
4500, -7.72748,  75008,  76955.4, -10.9729,  -75034.8,  76982.4
4600, 1.12019,  74894.6,  76839.4, -1.84968,  -74922.6,  76867.5
4700, 29.872,  74804.6,  76747, 26.8523,  -74831.6,  76774.2
4800, 64.74,  74773.9,  76715.4, 61.723,  -74802.1,  76743.7
4900, 92.018,  74812.9,  76755.1, 88.9894,  -74840.1,  76782.5
5000, 103.364,  74902.4,  76846.7, 100.259,  -74930.8,  76875.2
5100, 92.9929,  74999.8,  76946.2, 89.8891,  -75027.3,  76973.8
5200, 65.9706,  75068.8,  77016.7, 62.7136,  -75096.9,  77045
5300, 33.2347,  75090.2,  77038.8, 30.0776,  -75117.6,  77066.4
5400, 7.25975,  75054.1,  77002.2, 4.08241,  -75082,  77030.2
5500, -0.703056,  74978.2,  76924.7, -3.79951,  -75005.6,  76952.2
5600, 11.0257,  74889.1,  76833.6, 7.96557,  -74916.7,  76861.3
5700, 36.374,  74823.7,  76766.5, 33.3377,  -74851.2,  76794.2
5800, 65.526,  74812.7,  76755.2, 62.5544,  -74840.5,  76783.2
5900, 86.4841,  74856.1,  76799.4, 83.3635,  -74883.8,  76827.3
6000, 91.7389,  74932.1,  76877.1, 88.6792,  -74960,  76905.1
6100, 79.8457,  75009.7,  76956.4, 76.6617,  -75037.4,  76984.2
6200, 55.009,  75057.5,  77005.3, 51.8723,  -75085.5,  77033.4
6300, 28.267,  75063.4,  77011.4, 25.0141,  -75090.8,  77039
6400, 9.91153,  75025,  76972.4, 6.84487,  -75052.9,  77000.4
6500, 7.08323,  74956.4,  76902.4, 3.93407,  -74983.7,  76929.8
6600, 20.3754,  74885.4,  76829.8, 17.3624,  -74913.2,  76857.7
6700, 43.3245,  74841.7,  76785, 40.2496,  -74869,  76812.4
6800, 66.5476,  74842.5,  76785.6, 63.5457,  -74870.6,  76813.9
6900, 81.4241,  74887.1,  76831.2, 78.3357,  -74914.6,  76858.8
7000, 82.0544,  74951.8,  76897.2, 78.9259,  -74979.9,  76925.5
7100, 68.8683,  75011.7,  76958.5, 65.7333,  -75039.3,  76986.2
7200, 47.313,  75044.3,  76991.8, 44.1314,  -75072.3,  77019.9
7300, 26.0771,  75039.3,  76986.9, 22.9309,  -75066.8,  77014.5
7400, 13.9881,  74999.8,  76946.7, 10.8317,  -75027.5,  76974.5
7500, 15.2,  74940.5,  76886.1, 12.1476,  -74968,  76913.7
7600, 28.7178,  74885.1,  76829.4, 25.65,  -74912.8,  76857.2
7700, 48.5758,  74857.7,  76801.3, 45.5188,  -74885.3,  76829
7800, 66.5978,  74867.9,  76811.6, 63.5559,  -74895.7,  76839.5
7900, 76.142,  74910.1,  76854.7, 73.0498,  -74937.9,  76882.6
8000, 73.6981,  74965,  76910.7, 70.5841,  -74992.8,  76938.7
8100, 60.5087,  75010.1,  76956.8, 57.3306,  -75037.8,  76984.7
8200, 42.1594,  75029.9,  76977.2, 39.0424,  -75057.7,  77005.1
8300, 26.1211,  75018,  76965.2, 22.9381,  -75045.6,  76993
8400, 18.6436,  74979.3,  76925.7, 15.5631,  -75007,  76953.5
8500, 22.5315,  74929.5,  76874.8, 19.41,  -74957,  76902.4
8600, 35.4222,  74888.2,  76832.5, 32.4107,  -74915.9,  76860.4
8700, 52.0428,  74873,  76816.9, 48.9455,  -74900.5,  76844.6
8800, 65.6357,  74889,  76833.1, 62.5866,  -74916.8,  76861.1
8900, 71.1375,  74927.9,  76872.9, 68.0315,  -74955.5,  76900.6
9000, 66.6818,  74972.6,  76918.5, 63.5672,  -75000.5,  76946.6
9100, 54.28,  75006,  76952.7, 51.1232,  -75033.6,  76980.4
9200, 39.0633,  75015.7,  76962.7, 35.9141,  -75043.5,  76990.6
9300, 27.2435,  74999.6,  76946.4, 24.1299,  -75027.2,  76974.1
9400, 23.3885,  74963.8,  76909.8, 20.2632,  -74991.5,  76937.7
9500, 28.6671,  74922.9,  76868.1, 25.5974,  -74950.4,  76895.7
9600, 40.5919,  74893.5,  76837.9, 37.5215,  -74921.2,  76865.7
9700, 54.1223,  74887.4,  76831.6, 51.0667,  -74915,  76859.4
