    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, -24.318,  91438.6,  93675, -27.8321,  -91174.7,  93353.4
200, 115.666,  91065.5,  93301.5, 103.586,  -90801.6,  92980.2
300, -287.354,  92848.3,  95137.7, -282.735,  -92565.4,  94795.7
400, 223.523,  91279.8,  93528.8, 211.941,  -90996.4,  93187.2
500, 141.855,  91706.2,  93945.7, 134.503,  -91465.1,  93647.8
600, 68.9127,  91922.6,  94186.8, 61.8674,  -91647.8,  93853.6
700, -199.672,  91254.3,  93492.4, -199.967,  -90996.5,  93177.2
800, -97.3036,  90317.6,  92541.1, -103.81,  -90042.8,  92208.9
900, 62.443,  91995.2,  94255.1, 54.3994,  -91720.7,  93922.4
1000, 28.9646,  91621.1,  93868.8, 22.9755,  -91359.3,  93549.2
1100, 87.9867,  91708.1,  93959, 79.5584,  -91450,  93643.3
1200, -131.139,  90909.3,  93139.4, -133.337,  -90643.5,  92816.1
1300, 95.0822,  91683,  93933.6, 84.8996,  -91417.8,  93610.6
1400, 29.3312,  91157.2,  93395.2, 23.1448,  -90892,  93072.4
1500, 93.4776,  91659.5,  93910.6, 84.9708,  -91394,  93587.2
1600, -19.5244,  91710.7,  93960.6, -23.8066,  -91448.1,  93640.3
1700, 56.5508,  90851.9,  93085, 48.6867,  -90580.8,  92756.3
1800, -26.8618,  91496.3,  93741.5, -31.1943,  -91233.9,  93421.6
1900, 102.398,  91307.6,  93551.9, 92.1964,  -91037.8,  93224.3
2000, -9.54289,  91619.2,  93868.8, -14.3534,  -91352.4,  93544.1
2100, -17.588,  91236.6,  93476.8, -23.7538,  -90969.9,  93152.5
2200, 64.5184,  91561,  93811, 56.2475,  -91291,  93483.1
2300, -41.1524,  91030.6,  93264.7, -45.8529,  -90767,  92943.6
2400, 103.781,  91770.1,  94024.2, 93.7917,  -91501.5,  93697.7
2500, -32.2229,  91244,  93483.7, -36.9321,  -90977,  93159.1
2600, 18.6662,  91501.3,  93748.2, 11.5605,  -91235.6,  93424.8
2700, 27.1202,  91423.9,  93669.3, 20.2561,  -91156.2,  93343.8
2800, 31.8371,  91161.3,  93399.9, 24.7613,  -90893.4,  93074.3
2900, 9.38077,  91674.3,  93924.3, 3.55222,  -91409.3,  93601.6
3000, 51.6922,  91193.6,  93433.8, 43.5536,  -90925.3,  93107.7
3100, -28.3866,  91496.1,  93742.6, -33.285,  -91229.7,  93418.5
3200, 53.6706,  91302.6,  93545.2, 45.7817,  -91033.6,  93218.4
3300, 35.7897,  91413.5,  93659, 28.6297,  -91143.8,  93331.4
3400, -14.4628,  91293.3,  93534, -19.708,  -91029.6,  93212.7
3500, 72.0543,  91593.4,  93843.8, 62.9297,  -91323.6,  93516
3600, -28.7264,  91137.9,  93375.7, -33.3956,  -90869.7,  93049.8
3700, 48.2619,  91545.2,  93793.2, 40.4152,  -91278.6,  93468.8
3800, 28.4533,  91346.8,  93590.7, 21.6908,  -91078.2,  93264.2
3900, 5.59112,  91297.3,  93538.3, -0.828196,  -91032.2,  93215.6
4000, 25.6232,  91617.2,  93867.5, 18.8104,  -91348.1,  93540.5
4100, 29.6652,  91122.4,  93360.1, 22.5301,  -90854.8,  93034.9
4200, -9.81281,  91556.5,  93804.5, -15.2327,  -91290.7,  93481
4300, 64.6604,  91325.4,  93568.5, 56.274,  -91056.9,  93242.2
4400, -4.24263,  91393.6,  93637.9, -10.1839,  -91125.1,  93311.6
4500, 14.9102,  91389.5,  93633.2, 8.7592,  -91123.9,  93309.9
4600, 53.0539,  91422.2,  93668.2, 44.7585,  -91152.7,  93340.9
4700, -19.111,  91245.6,  93485.6, -23.9963,  -90979.4,  93161.8
4800, 62.6369,  91580.8,  93830.1, 54.13,  -91312.1,  93503.5
4900, 4.54308,  91237.6,  93478.4, -1.34968,  -90969.3,  93152.4
5000, 11.8108,  91417.7,  93661.9, 5.30638,  -91153,  93339.5
5100, 41.6697,  91476.6,  93723.9, 34.2813,  -91206.3,  93395.8
5200, 12.9485,  91197.1,  93436.1, 6.44574,  -90930.1,  93111.4
5300, 8.57365,  91585.9,  93835, 2.63651,  -91319.2,  93510.4
5400, 51.5825,  91260.8,  93502.3, 43.4645,  -90992.6,  93176.4
5500, -17.4925,  91403.7,  93647.9, -22.6539,  -91136.5,  93323
5600, 49.3467,  91436.1,  93681.7, 41.7082,  -91168,  93355.7
5700, 21.0367,  91331.5,  93574.7, 14.1969,  -91063.1,  93248.5
5800, -4.31358,  91369.3,  93612.3, -9.91427,  -91104.1,  93289.5
5900, 60.2376,  91500.2,  93747.9, 51.8584,  -91230.2,  93420.1
6000, -7.8176,  91217.9,  93457.6, -13.3046,  -90950.5,  93132.5
6100, 30.7433,  91521.5,  93768.7, 23.8192,  -91255.5,  93445
6200, 33.9675,  91337.9,  93581.6, 26.572,  -91068.8,  93254.7
6300, 1.28608,  91321.1,  93563.1, -4.6191,  -91054.6,  93238.8
6400, 34.208,  91531.4,  93779.5, 27.1511,  -91263.2,  93453.4
6500, 28.7386,  91237,  93477.8, 21.6118,  -90969.2,  93152.2
6600, -7.91052,  91449.3,  93694.3, -13.4026,  -91183.7,  93371.1
6700, 58.9665,  91422.3,  93668.2, 50.6599,  -91152.4,  93340.4
6800, -3.19092,  91289.7,  93531.1, -8.91322,  -91022.9,  93206.6
6900, 22.0072,  91469.8,  93715.9, 15.422,  -91203.7,  93392
7000, 43.2759,  91369.6,  93614, 35.5026,  -91100.7,  93287.3
7100, -9.1341,  91305.9,  93547.5, -14.6684,  -91039,  93223
7200, 47.4526,  91525.5,  93773.3, 39.9034,  -91258,  93448
7300, 15.5081,  91262.5,  93503.9, 8.78728,  -90994.6,  93178.3
7400, 5.66354,  91417.4,  93661.7, -0.245285,  -91151.9,  93338.5
7500, 46.5951,  91454.9,  93701.5, 38.6548,  -91185.2,  93373.9
7600, 6.9749,  91255.7,  93496.4, 0.931177,  -90988.9,  93171.9
7700, 16.0668,  91501.7,  93748.4, 9.6241,  -91236,  93425
7800, 44.9048,  91341.7,  93585.5, 37.131,  -91072.2,  93258.2
7900, -8.59864,  91332.4,  93574.5, -14.1596,  -91066.4,  93250.8
8000, 43.7659,  91498.1,  93745.5, 36.3389,  -91230.1,  93419.7
8100, 20.5569,  91283.5,  93525.2, 13.6668,  -91016.2,  93200.2
8200, 0.466714,  91406.6,  93650.8, -5.26116,  -91140.2,  93326.7
8300, 52.6557,  91456.4,  93702.9, 44.5895,  -91187.3,  93375.9
8400, -0.13592,  91265.8,  93506.8, -6.00669,  -90998.6,  93182
8500, 24.2833,  91482.1,  93728.3, 17.6275,  -91216.5,  93404.9
8600, 36.9168,  91365,  93609.5, 29.3581,  -91095.1,  93281.7
8700, -1.10327,  91310.1,  93551.6, -6.78451,  -91044.1,  93228
8800, 37.9915,  91518.6,  93766.5, 30.6729,  -91250.7,  93440.7
8900, 23.2607,  91265.1,  93506.4, 16.3711,  -90997.3,  93180.9
9000, 0.616037,  91424.1,  93668.6, -5.18462,  -91157.8,  93344.6
9100, 50.1168,  91437.8,  93683.9, 42.2647,  -91168.4,  93356.7
9200, 3.21238,  91284.6,  93526, -2.85655,  -91017.8,  93201.5
9300, 20.2397,  91466,  93711.9, 13.7765,  -91199.7,  93387.9
9400, 40.8451,  91374.6,  93619.2, 33.0976,  -91104.9,  93291.6
9500, -4.85631,  91309.3,  93550.9, -10.3489,  -91043,  93227
9600, 42.5995,  91510.4,  93758, 35.0705,  -91242.7,  93432.4
9700, 18.3447,  91282.1,  93523.9, 11.6429,  -91013.8,  93197.9
9800, 6.17182,  91404.2,  93648.2, 0.141938,  -91138.1,  93324.4
9900, 45.012,  91457.9,  93704.6, 37.358,  -91188.4,  93377.2
10000, 6.73778,  91264.3,  93505.1, 0.520126,  -90997.8,  93180.9
10100, 18.7696,  91486.3,  93732.7, 12.339,  -91219.6,  93408.3
10200, 40.0416,  91352.8,  93596.8, 32.325,  -91083.3,  93269.5
10300, -2.70547,  91333.4,  93575.7, -8.32502,  -91067.1,  93251.7
10400, 39.5266,  91483.7,  93730.6, 32.1149,  -91216.3,  93405.4
10500, 21.1966,  91307.2,  93549.7, 14.3353,  -91038.7,  93223.4
10600, 3.81185,  91384.1,  93627.5, -2.10713,  -91118.3,  93304
10700, 47.2717,  91470.3,  93717.3, 39.4585,  -91200.8,  93390
10800, 4.23698,  91260,  93500.6, -1.84867,  -90993.7,  93176.7
10900, 22.2951,  91484.9,  93731.4, 15.6641,  -91218,  93406.7
11000, 36.4001,  91358.3,  93602.4, 28.8963,  -91089.2,  93275.4
11100, 0.930273,  91327.2,  93569.4, -4.91646,  -91061.1,  93245.6
11200, 36.6749,  91489.9,  93736.9, 29.4376,  -91222.6,  93411.8
11300, 22.2232,  91298.8,  93541.1, 15.2674,  -91030.3,  93214.9
11400, 4.26752,  91395.4,  93639.2, -1.58591,  -91129.7,  93315.7
11500, 45.5353,  91453.9,  93700.5, 37.7283,  -91184.8,  93373.5
11600, 6.11671,  91279.3,  93520.5, 0.0179034,  -91012.9,  93196.4
11700, 20.7834,  91465.2,  93711.1, 14.1826,  -91198.4,  93386.6
11800, 37.5093,  91375.5,  93620, 30.0385,  -91106.1,  93292.9
11900, 0.0753901,  91315.2,  93557, -5.76501,  -91049.4,  93233.5
12000, 37.8364,  91496.7,  93744, 30.5895,  -91229,  93418.4
12100, 20.3976,  91295.7,  93537.8, 13.5304,  -91027.4,  93211.8
12200, 6.89176,  91398.4,  93642.3, 0.976515,  -91132.3,  93318.5
12300, 42.8394,  91449.9,  93696.3, 35.1598,  -91181.1,  93369.7
12400, 8.09127,  91284.4,  93525.8, 1.9162,  -91017.5,  93201.2
12500, 19.9223,  91460.9,  93706.6, 13.3905,  -91194.2,  93382.2
12600, 37.0591,  91377.1,  93621.7, 29.6139,  -91107.5,  93294.3
12700, 1.13462,  91317,  93558.8, -4.72182,  -91051.4,  93235.5
12800, 36.5381,  91491.7,  93738.9, 29.3125,  -91223.5,  93412.9
12900, 21.2878,  91301.3,  93543.5, 14.4258,  -91033.1,  93217.5
13000, 6.74485,  91395.8,  93639.7, 0.799887,  -91129.5,  93315.7
13100, 42.8384,  91448.7,  93695, 35.1963,  -91180,  93368.5
13200, 7.69257,  91289.2,  93530.8, 1.47382,  -91022,  93205.9
13300, 21.0724,  91454.7,  93700.3, 14.528,  -91188,  93375.8
13400, 35.2577,  91382,  93626.7, 27.8271,  -91112.5,  93299.4
13500, 3.17281,  91314.9,  93556.7, -2.74238,  -91049.3,  93233.4
13600, 34.9028,  91491.1,  93738.3, 27.6716,  -91222.9,  93412.2
13700, 22.1009,  91302.8,  93545, 15.2343,  -91034.6,  93219.1
13800, 7.02593,  91395.9,  93639.8, 0.991474,  -91129.8,  93316
13900, 41.9712,  91446,  93692.3, 34.3861,  -91177.3,  93365.7
14000, 8.36364,  91292.9,  93534.6, 2.05174,  -91025.9,  93209.8
14100, 20.8858,  91451.7,  93697.3, 14.3666,  -91184.9,  93372.7
14200, 34.9454,  91381.4,  93626.1, 27.4732,  -91112.4,  93299.2
