    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 3929.22,  52724.1,  54127.3, 3665.98,  -52446.7,  53788.6
200, 2514.34,  53101.3,  54567.2, 2332.91,  -52649.3,  54045.1
300, 1696.85,  58526.2,  60122.4, 1578.54,  -57965.3,  59482.1
400, 2198.76,  55703.3,  57232, 2052.82,  -55188.2,  56641.8
500, 2141.62,  55725.9,  57258.9, 1997.64,  -55210,  56667.5
600, 2090.17,  56064,  57604.7, 1949.09,  -55542.5,  57007.2
700, 2118.49,  55942.5,  57479.9, 1975.81,  -55421.6,  56883.3
800, 2117.76,  55927.2,  57464.4, 1975.13,  -55405.5,  56866.9
900, 2113.88,  55949,  57486.8, 1971.51,  -55427.2,  56889.1
1000, 2114.98,  55945.5,  57483.1, 1972.59,  -55424.1,  56885.9
1100, 2115.3,  55942.8,  57480.4, 1972.88,  -55421.6,  56883.4
1200, 2115.05,  55944.1,  57481.7, 1972.62,  -55422.8,  56884.6
1300, 2115.07,  55944.2,  57481.8, 1972.64,  -55422.8,  56884.7
1400, 2115.11,  55944,  57481.6, 1972.68,  -55422.6,  56884.4
1500, 2115.09,  55944.1,  57481.6, 1972.66,  -55422.7,  56884.5
1600, 2115.09,  55944.1,  57481.6, 1972.66,  -55422.7,  56884.5
1700, 2115.09,  55944,  57481.6, 1972.67,  -55422.7,  56884.5
1800, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
1900, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2000, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2100, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2200, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2300, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2400, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2500, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2600, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2700, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2800, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
2900, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3000, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3100, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3200, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3300, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3400, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3500, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3600, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3700, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3800, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
3900, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
4000, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
4100, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
4200, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
4300, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
4400, 2115.09,  55944,  57481.6, 1972.66,  -55422.7,  56884.5
