    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 321.316,  91484.9,  93695.6, 300.037,  -91070.6,  93180.8
200, 80.4763,  91451,  93653.7, 61.7179,  -91057.8,  93160.7
300, 162.618,  91650.9,  93864.6, 141.254,  -91228,  93340.8
400, 64.8582,  90894.3,  93088.8, 46.9134,  -90483.5,  92578.2
500, 114.769,  91309.4,  93511.2, 95.7812,  -90901.1,  93002.8
600, 49.3623,  91326.8,  93530.3, 34.7925,  -90915.6,  93018.9
700, 40.2159,  90920.4,  93114.4, 25.3522,  -90510.3,  92604.5
800, 88.9444,  91326.3,  93530.5, 71.1824,  -90910.1,  93013.9
900, 94.934,  91536.2,  93745.6, 76.4572,  -91122.2,  93231.1
1000, 62.3277,  91489.2,  93696.9, 46.225,  -91073,  93180.2
1100, 54.2068,  91333.7,  93537.6, 38.4415,  -90922.8,  93026.5
1200, 90.1721,  91230.7,  93432.9, 71.6568,  -90813.5,  92915.3
1300, 120.97,  91400.3,  93607.1, 100.43,  -90983.8,  93090.1
1400, 96.1263,  91507.3,  93716.2, 77.2314,  -91089.6,  93197.9
1500, 61.9783,  91304.1,  93507.2, 45.7977,  -90892.1,  92995
1600, 77.3103,  91121.1,  93319.7, 59.7061,  -90710.2,  92808.8
1700, 112.293,  91234.6,  93436.9, 92.4547,  -90818.7,  92920.7
1800, 108.731,  91434.9,  93642.4, 88.9827,  -91019.1,  93126
1900, 72.0143,  91384.3,  93589.7, 55.1416,  -90968.6,  93073.6
2000, 63.7399,  91161.6,  93361, 47.3572,  -90752.8,  92852.2
2100, 93.6122,  91158.1,  93358.1, 74.9189,  -90743.6,  92843.4
2200, 108.965,  91388.7,  93595.2, 89.2672,  -90972.3,  93078.3
2300, 84.5043,  91473.9,  93682.2, 66.5268,  -91055.6,  93163.4
2400, 62.4994,  91272.6,  93474.9, 46.3422,  -90861.2,  92963.3
2500, 78.7158,  91134.5,  93333.4, 61.041,  -90723.8,  92822.7
2600, 103.341,  91294.5,  93498.3, 83.9257,  -90878.2,  92981.7
2700, 96.3706,  91481.6,  93690.5, 77.4258,  -91063.8,  93172.1
2800, 72.0328,  91377.5,  93582.8, 55.1966,  -90961.9,  93066.9
2900, 72.6501,  91156,  93355.1, 55.6053,  -90747.7,  92846.8
3000, 94.854,  91193.5,  93394.3, 75.9949,  -90779.6,  92880.2
3100, 101.208,  91419.3,  93626.6, 81.8959,  -91002.2,  93109.1
3200, 83.0908,  91451.2,  93659, 65.2964,  -91033,  93140.2
3300, 72.7479,  91232.7,  93433.8, 55.9496,  -90822.3,  92923.3
3400, 85.8147,  91138.4,  93337.2, 67.6325,  -90728.1,  92826.9
3500, 97.995,  91323.3,  93528, 78.8922,  -90907,  93011.3
3600, 89.7629,  91473.2,  93682, 71.3076,  -91054.6,  93162.8
3700, 76.8537,  91335.3,  93539.6, 59.7745,  -90920.6,  93024.5
3800, 80.6988,  91147.7,  93346.5, 63.1199,  -90739.5,  92838.4
3900, 92.1367,  91228.9,  93430.6, 73.3877,  -90815,  92916.4
4000, 91.6475,  91435.7,  93643.6, 72.9705,  -91017.8,  93125.1
4100, 82.2,  91419.7,  93626.7, 64.5528,  -91001.7,  93108.2
4200, 80.8313,  91210.9,  93411.5, 63.4777,  -90801.2,  92901.6
4300, 87.9915,  91167.5,  93367.1, 69.631,  -90757.1,  92856.6
4400, 90.1387,  91355.9,  93561.4, 71.4966,  -90939.2,  93044.3
4500, 85.1191,  91454.9,  93663.3, 67.0488,  -91036,  93143.8
4600, 83.3662,  91299.5,  93502.8, 65.8878,  -90885.7,  92988.7
4700, 87.0481,  91158.7,  93357.7, 68.9891,  -90750.5,  92849.5
4800, 87.8865,  91267.7,  93470.4, 69.3892,  -90853.5,  92955.9
4900, 84.5398,  91435.1,  93643, 66.3522,  -91016.6,  93124
5000, 84.8392,  91379.1,  93585, 67.095,  -90961.7,  93067.2
5100, 88.601,  91200.7,  93400.9, 70.6943,  -90791.3,  92891.5
5200, 87.7033,  91204.2,  93404.7, 69.3078,  -90793.4,  92893.8
5300, 82.5048,  91375.4,  93581.5, 64.3752,  -90958.2,  93063.9
5400, 83.3939,  91422.2,  93629.7, 65.5133,  -91003.4,  93110.4
5500, 90.2451,  91271.1,  93473.6, 72.3057,  -90858.1,  92960.4
5600, 90.413,  91184,  93383.7, 72.0725,  -90775.3,  92875
5700, 82.0419,  91302.9,  93506.5, 63.9095,  -90888.2,  92991.5
5800, 79.6147,  91419.5,  93627.1, 61.8144,  -91000.9,  93107.9
5900, 89.2265,  91339.7,  93544.5, 71.2341,  -90923.2,  93027.7
6000, 94.3915,  91206.5,  93406.9, 76.0297,  -90797.1,  92897.4
6100, 85.0137,  91245,  93446.6, 66.7674,  -90833.4,  92934.9
6200, 76.1529,  91381.1,  93587.3, 58.4714,  -90963.7,  93069.5
6300, 84.4629,  91382.6,  93589, 66.5846,  -90964.4,  93070.4
6400, 96.61,  91255.2,  93457.3, 78.2101,  -90842.8,  92944.7
6500, 91.0767,  91218.9,  93419.5, 72.6247,  -90809.5,  92910
6600, 76.0353,  91328.2,  93532.6, 58.3208,  -90913,  93017
6700, 77.5266,  91391.3,  93598.1, 59.9303,  -90973.1,  93079.3
