    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, -507.812,  94468.8,  96763.6, -507.213,  -94310.2,  96573.3
200, -66.8439,  91790,  94044.5, -69.3902,  -91616.4,  93839.4
300, -492.619,  89627.1,  91841.5, -493.442,  -89455.6,  91639.2
400, -10.1373,  90933.2,  93171.6, -9.74958,  -90751.9,  92958.7
500, -33.5432,  90701.4,  92944, -34.5844,  -90529.6,  92741.1
600, -346.888,  92817.7,  95120.9, -346.416,  -92628.3,  94899.1
700, 255.056,  91791.5,  94070.8, 247.14,  -91601,  93848.5
800, 74.8261,  90706.3,  92948.6, 69.7532,  -90532.9,  92744
900, 301.814,  91670.7,  93940.3, 294.929,  -91485.4,  93723.2
1000, -15.8053,  91449,  93704.1, -14.4407,  -91279.1,  93503.1
1100, -68.8994,  91444.5,  93706.5, -71.8711,  -91267.6,  93498.1
1200, 122.784,  92155.8,  94429.7, 115.434,  -91977.3,  94219.6
1300, -83.5405,  92712.1,  94989.6, -85.7932,  -92549.4,  94795.7
1400, -248.788,  91407.2,  93652, -250.509,  -91239,  93452.6
1500, -113.574,  90145,  92368.6, -115.811,  -89969.5,  92162
1600, -49.2026,  90688.8,  92934.5, -51.371,  -90509.5,  92723.8
1700, 153.809,  91485.7,  93736.9, 148.343,  -91312.2,  93532.3
1800, 100.852,  92128.4,  94398.2, 94.9155,  -91953.3,  94191.4
1900, -99.3755,  92614.6,  94893, -99.9705,  -92442.9,  94689.7
2000, 112.077,  92061.5,  94330.2, 106.958,  -91887.5,  94124.7
2100, 100.842,  91762.4,  94026.4, 95.3201,  -91593.6,  93826.3
2200, 25.6363,  91595.4,  93853.6, 24.8505,  -91420.8,  93647.7
2300, -140.272,  91261.3,  93506.1, -139.938,  -91088.5,  93302
2400, -35.7858,  90624,  92861.4, -39.263,  -90447.9,  92654
2500, 170.777,  91614.8,  93877.5, 165.049,  -91434.5,  93665.7
2600, -20.5311,  91005.2,  93247.8, -24.4019,  -90834.6,  93045.9
2700, 34.7181,  91066.4,  93317.8, 31.6923,  -90888.6,  93108.5
2800, 76.0738,  91063,  93314, 71.1351,  -90881.8,  93101.4
2900, 64.62,  91733.1,  93996.9, 60.1459,  -91562.5,  93794.9
3000, 26.4987,  91925.8,  94192.9, 21.228,  -91747.3,  93982.7
3100, -110.987,  91941.1,  94207.4, -112.314,  -91764.8,  93999.6
3200, -154.978,  91166.6,  93418, -155.972,  -90990.5,  93210.5
3300, 7.46153,  90885.1,  93129.6, 3.53745,  -90705.8,  92919
3400, 100.595,  91516.2,  93776.1, 95.7652,  -91339.7,  93568.2
3500, -58.9867,  90871.8,  93108.2, -61.9784,  -90701.4,  92906.6
3600, -46.1548,  90830.2,  93069.2, -48.3549,  -90655.2,  92863
3700, 120.039,  91394.3,  93652.9, 112.306,  -91213.8,  93440.8
3800, 90.5864,  91869.1,  94131.3, 85.9878,  -91697.6,  93928.5
3900, -18.3154,  91713.5,  93972.9, -21.487,  -91537.5,  93765.3
4000, -52.9494,  91600.7,  93857.2, -55.4587,  -91426.4,  93651.4
4100, -52.0518,  91396.7,  93650.2, -54.9169,  -91218.8,  93440.9
4200, -12.5492,  91466.3,  93724.1, -16.1677,  -91290.1,  93516.3
4300, 30.1762,  91623.1,  93884.1, 26.7468,  -91445,  93674.5
4400, -72.7667,  91095.3,  93340.2, -75.1255,  -90919.8,  93133.4
4500, 22.5616,  90746.9,  92985.9, 19.8379,  -90572.1,  92779.8
4600, 155.886,  91467.8,  93727.2, 148.749,  -91285.2,  93513
4700, 50.3659,  91655.9,  93912.8, 46.9464,  -91483.4,  93709
4800, -41.7301,  91357.9,  93609.8, -43.9593,  -91183.9,  93404.4
4900, -22.9562,  91112.7,  93360.4, -26.4599,  -90935.9,  93152.2
5000, 53.0448,  91633,  93895.3, 48.6901,  -91456.8,  93687.5
