    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, -25.228,  91437.7,  93674, -28.9513,  -91175.9,  93354.4
200, 115.245,  91060.9,  93296.7, 102.97,  -90799.1,  92977.5
300, -290.02,  92855.5,  95145.3, -285.493,  -92573.1,  94803.8
400, 226.643,  91280.1,  93529.3, 214.635,  -90997.5,  93188.5
500, 146.238,  91707.3,  93946.7, 138.509,  -91467,  93649.6
600, 68.5899,  91925.2,  94189.6, 61.3355,  -91650.7,  93856.7
700, -205.97,  91242.3,  93480.1, -206.344,  -90986.5,  93166.8
800, -102.17,  90293.4,  92516.4, -108.887,  -90019.6,  92185.2
900, 64.1809,  92008.5,  94268.8, 55.7711,  -91734.3,  93936.3
1000, 29.4326,  91632.3,  93880.2, 23.1711,  -91371.4,  93561.5
1100, 90.9247,  91728.4,  93979.7, 82.0899,  -91471.6,  93665.3
1200, -138.322,  90902.5,  93132.2, -140.57,  -90638.1,  92810.4
1300, 98.144,  91678,  93928.5, 87.4442,  -91413.4,  93606.1
1400, 29.6603,  91153,  93390.9, 23.2474,  -90888.2,  93068.5
1500, 97.2582,  91667.6,  93919, 88.3055,  -91402.6,  93596.1
1600, -19.414,  91726.9,  93977.1, -23.914,  -91465.8,  93658.3
1700, 53.8045,  90825.5,  93058, 45.7424,  -90554.8,  92729.7
1800, -26.443,  91498.2,  93743.5, -31.0343,  -91236.3,  93424
1900, 102.987,  91287,  93530.9, 92.3903,  -91018.4,  93204.5
2000, -9.32217,  91640,  93890.1, -14.4262,  -91374.2,  93566.5
2100, -20.8993,  91232.1,  93472.2, -27.3719,  -90966,  93148.4
2200, 64.8586,  91563.9,  93814.1, 56.2517,  -91294.3,  93486.5
2300, -45.2613,  91019.4,  93253.1, -50.1239,  -90757.1,  92933.4
2400, 110.197,  91777.9,  94032.4, 99.5417,  -91510,  93706.4
2500, -36.645,  91252.4,  93492.2, -41.4848,  -90986.1,  93168.1
2600, 19.6052,  91505.5,  93752.5, 12.1445,  -91240.4,  93429.6
2700, 26.5271,  91430.2,  93675.8, 19.3917,  -91163.6,  93351.4
2800, 30.8165,  91141.6,  93379.6, 23.4711,  -90874.6,  93054.9
2900, 13.5438,  91697.1,  93947.7, 7.24775,  -91432.6,  93625.4
3000, 49.4182,  91173.9,  93413.5, 41.0826,  -90906.3,  93088.2
3100, -29.412,  91515.5,  93762.5, -34.5786,  -91250.2,  93439.5
3200, 53.8988,  91287.6,  93529.8, 45.627,  -91019.1,  93203.7
3300, 35.8272,  91411.6,  93657.1, 28.3471,  -91142.1,  93329.7
3400, -15.5392,  91296,  93536.7, -21.0088,  -91033.2,  93216.2
3500, 74.7305,  91591.8,  93842.3, 65.1398,  -91322.8,  93515.3
3600, -34.5398,  91140.4,  93378.2, -39.311,  -90873,  93053.1
3700, 52.4428,  91542.4,  93790.4, 44.0675,  -91276.1,  93466.3
3800, 26.4401,  91349.2,  93593.1, 19.4731,  -91081.1,  93267.3
3900, 5.1955,  91290.1,  93530.8, -1.5118,  -91026.4,  93209.5
4000, 28.2762,  91640.6,  93891.5, 20.9626,  -91372.1,  93565.1
4100, 25.306,  91096.3,  93333.3, 18.0712,  -90829.4,  93008.7
4200, -7.74368,  91580.5,  93829.1, -13.5799,  -91315.6,  93506.4
4300, 64.6946,  91306.6,  93549.3, 56.0211,  -91039.1,  93224
4400, -5.38738,  91402.5,  93646.9, -11.6323,  -91134.8,  93321.4
4500, 15.419,  91395.8,  93639.7, 8.97486,  -91130.6,  93316.8
4600, 52.8239,  91407.4,  93653.1, 44.1849,  -91138.8,  93326.6
4700, -22.5634,  91253.7,  93493.8, -27.5945,  -90988.7,  93171.2
4800, 68.5345,  91577.5,  93826.8, 59.4114,  -91309.2,  93500.6
4900, -0.688696,  91238.6,  93479.3, -6.63002,  -90970.8,  93153.8
5000, 13.9475,  91417.8,  93661.9, 7.03119,  -91154.3,  93340.7
5100, 41.7349,  91482.6,  93730.2, 33.9872,  -91213,  93402.7
5200, 10.1669,  91178.5,  93416.9, 3.48371,  -90912.3,  93093.1
5300, 12.3734,  91615.4,  93865.2, 5.97401,  -91348.9,  93540.9
5400, 48.5823,  91232.6,  93473.4, 40.2957,  -90965.4,  93148.4
5500, -18.3768,  91423.5,  93668.1, -23.8644,  -91157.3,  93344.2
5600, 51.4781,  91431.3,  93676.9, 43.4432,  -91163.3,  93351
5700, 18.919,  91322.3,  93565.2, 11.867,  -91054.6,  93239.7
5800, -5.05598,  91383.7,  93627, -10.9007,  -91119.5,  93305.2
5900, 63.3601,  91490.3,  93737.9, 54.4648,  -91220.9,  93410.6
6000, -13.5433,  91218.5,  93458.1, -19.0848,  -90951.7,  93133.6
6100, 36.5613,  91530.4,  93777.9, 29.0959,  -91264.9,  93454.6
6200, 30.2172,  91326.1,  93569.5, 22.6756,  -91057.9,  93243.5
6300, 0.910754,  91324,  93565.9, -5.33004,  -91058.3,  93242.5
6400, 37.3773,  91545.4,  93793.9, 29.8585,  -91277.1,  93467.8
6500, 24.7129,  91212.6,  93452.6, 17.4555,  -90945.5,  93127.9
6600, -6.66249,  91474.7,  93720.3, -12.4874,  -91210.1,  93398.1
